ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
84712;1;Tucano Urbano Couverture thermique Scooty;291;149;1;82.77777778;1;;15;2016-10-07;2016-10-31;Z5801-086-03;Z5801-086-03;Hostettler;Tucano Urbano;;;;;;;;3;;;;;;Protection thermique enduit de nylon étanche à l?eau avec doublure en fibre synthétique.;Nylon enduit, imperméable à l?eau, doublure en matière synthétique isolante. Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-10-07;2016-10-07;1;http://www.motochic.ch/shopimages/super/default.jpg;0;;0;new;0;0;0;2;0;0;0;0
84713;1;Tucano Urbano Couverture thermique Scooty;291;149;1;82.77777778;1;;15;2016-10-07;2016-10-31;Z5801-088-03;Z5801-088-03;Hostettler;Tucano Urbano;;;;;;;;3;;;;;;Protection thermique enduit de nylon étanche à l?eau avec doublure en fibre synthétique.;Nylon enduit, imperméable à l?eau, doublure en matière synthétique isolante. Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-10-07;2016-10-07;1;http://www.motochic.ch/shopimages/super/default.jpg;0;;0;new;0;0;0;2;0;0;0;0
84720;1;Tucano Urbano Couverture thermique Scooty;291;159;1;88.33333333;1;;15;2016-10-07;2016-10-31;Z5801-R062C;Z5801-R062C;Hostettler;Tucano Urbano;;;;;;;;3;;;;;;Protection thermique enduit de nylon étanche à l?eau avec doublure en fibre synthétique.;Nylon enduit, imperméable à l?eau, doublure en matière synthétique isolante. Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-10-07;2016-10-07;1;http://www.motochic.ch/shopimages/super/default.jpg;0;;0;new;0;0;0;2;0;0;0;0
84725;1;Tucano Urbano Couverture thermique Scooty;291;149;1;82.77777778;1;;15;2016-10-07;2016-10-31;Z5801-R083-03;Z5801-R083-03;Hostettler;Tucano Urbano;;;;;;;;3;;;;;;Protection thermique enduit de nylon étanche à l?eau avec doublure en fibre synthétique.;Nylon enduit, imperméable à l?eau, doublure en matière synthétique isolante. Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-10-07;2016-10-07;1;http://www.motochic.ch/shopimages/super/default.jpg;0;;0;new;0;0;0;2;0;0;0;0
84726;1;Tucano Urbano Couverture thermique Scooty;291;149;1;82.77777778;1;;15;2016-10-07;2016-10-31;Z5801-R084;Z5801-R084;Hostettler;Tucano Urbano;;;;;;;;3;;;;;;Protection thermique enduit de nylon étanche à l?eau avec doublure en fibre synthétique.;Nylon enduit, imperméable à l?eau, doublure en matière synthétique isolante. Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-10-07;2016-10-07;1;http://www.motochic.ch/shopimages/super/default.jpg;0;;0;new;0;0;0;2;0;0;0;0
84729;1;Tucano Urbano Couverture thermique Scooty EVO;291;199;1;110.5555556;1;;15;2016-10-07;2016-10-31;Z5801-R085EV;Z5801-R085EV;Hostettler;Tucano Urbano;;;;;;;;3;;;;;;0;La couverture thermique EVO est protégée par deux couches de matière plastique imperméable renforcée par une doublure à résille 3D. Le système anti-flottement brevetée assure un confort optimal, même à des vitesses plus élevées.<br><ul><li>Étanche à l?eau</li><li>Résistant au vent, pluie et soleil</li><li>Doublure amovible</li><li>Valve avec capuchon et soupape de sécurité pour empêcher une perte de pression durant le gonflage</li><li>Bandes réfléchissantes</li></ul>;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-10-07;2016-10-07;1;http://www.motochic.ch/shopimages/super/default.jpg;0;;0;new;0;0;0;2;0;0;0;0
84734;1;Tucano Urbano Couverture thermique Scooty;291;169;1;93.88888889;1;;15;2016-10-07;2016-10-31;Z5801-R094;Z5801-R094;Hostettler;Tucano Urbano;;;;;;;;3;;;;;;Protection thermique enduit de nylon étanche à l?eau avec doublure en fibre synthétique.;Nylon enduit, imperméable à l?eau, doublure en matière synthétique isolante. Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-10-07;2016-10-07;1;http://www.motochic.ch/shopimages/super/default.jpg;0;;0;new;0;0;0;2;0;0;0;0
84736;1;Tucano Urbano Couverture thermique Scooty;291;169;1;93.88888889;1;;15;2016-10-07;2016-10-31;Z5801-R096;Z5801-R096;Hostettler;Tucano Urbano;;;;;;;;3;;;;;;Protection thermique enduit de nylon étanche à l?eau avec doublure en fibre synthétique.;Nylon enduit, imperméable à l?eau, doublure en matière synthétique isolante. Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-10-07;2016-10-07;1;http://www.motochic.ch/shopimages/super/default.jpg;0;;0;new;0;0;0;2;0;0;0;0
84739;1;Tucano Urbano Couverture thermique Scooty;291;149;1;82.77777778;1;;15;2016-10-07;2016-10-31;Z5801-R099;Z5801-R099;Hostettler;Tucano Urbano;;;;;;;;3;;;;;;Protection thermique enduit de nylon étanche à l?eau avec doublure en fibre synthétique.;Nylon enduit, imperméable à l?eau, doublure en matière synthétique isolante. Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-10-07;2016-10-07;1;http://www.motochic.ch/shopimages/super/default.jpg;0;;0;new;0;0;0;2;0;0;0;0
84741;1;Tucano Urbano Couverture thermique Scooty;291;149;1;82.77777778;1;;15;2016-10-07;2016-10-31;Z5801-R162;Z5801-R162;Hostettler;Tucano Urbano;;;;;;;;3;;;;;;Protection thermique enduit de nylon étanche à l?eau avec doublure en fibre synthétique.;Nylon enduit, imperméable à l?eau, doublure en matière synthétique isolante. Montage simple par sangle et Velcro.<br><ul><li>Compartiments extérieurs</li><li>Bandes réfléchissantes</li><li>S.G.A.S. (système breveté anti-flottement pour des vitesses supérieures)</li></ul>;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-10-07;2016-10-07;1;http://www.motochic.ch/shopimages/super/default.jpg;0;;0;new;0;0;0;2;0;0;0;0
