id;Active (0/1);Name *;Categories;Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);SKU;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);image url;Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
80395;1;Rocc 680 Metallic Noir;197;267.59;1;133.795;;;;;;6800;6800;Freidig;Rocc ;;;;;;;;1;;;;;;<p>Le casque modulable dispose de deux positions:</p><ul><li>la position jet : mentonnière relevée pour la ville</li><li>la position intégrale : mentonnière fermée, visière fermée, pour une protection intégrale et un meilleur aérodynamisme à grande vitesse</li></ul>;<ul><li>Casque avec écran solaire intégré</li><li>visière claire & anti-rayures</li><li>aération dynamique réglable</li><li>fermeture Quick Release</li><li>poids env. 1.550 g</li><li>homologué ece 22-05</li><li>Matériel: ABS</li><li>Intérieur tout confort: antibactérien - amovible - lavable</li></ul>;;;;;;;;1;2016-03-17;2016-03-17;1;https://www.motogoodeal.ch/img/import/6800 2XL_0.jpg;0;Couleur:Noir:1,Type de casque:Modulable:2,Coque:ABS:4,Ecran anti-buée:Non:5,Cache-nez:non:6,Double écran solaire:non:7,Intérieur démontable et lavable:Oui:8,Livré avec une housse:non:9,Ecran anti-rayures:oui:10,;;new;;;;;;;;
80396;1;Rocc 680 Blanc;197;249.07;1;124.535;;;;;;6806;6806;Freidig;Rocc ;;;;;;;;2;;;;;;<p>Le casque modulable dispose de deux positions:</p><ul><li>la position jet : mentonnière relevée pour la ville</li><li>la position intégrale : mentonnière fermée, visière fermée, pour une protection intégrale et un meilleur aérodynamisme à grande vitesse</li></ul>;<ul><li>Casque avec écran solaire intégré</li><li>visière claire & anti-rayures</li><li>aération dynamique réglable</li><li>fermeture Quick Release</li><li>poids env. 1.550 g</li><li>homologué ece 22-05</li><li>Matériel: ABS</li><li>Intérieur tout confort: antibactérien - amovible - lavable</li></ul>;;;;;;;;1;2016-03-17;2016-03-17;1;https://www.motogoodeal.ch/img/import/6806 L_0.jpg;0;Couleur:Blanc:1,Type de casque:Modulable:2,Coque:ABS:4,Ecran anti-buée:Non:5,Cache-nez:non:6,Double écran solaire:non:7,Intérieur démontable et lavable:Oui:8,Livré avec une housse:non:9,Ecran anti-rayures:oui:10,;;new;;;;;;;;
80397;1;Rocc 680 Neon/Jaune;197;249.07;1;124.535;;;;;;6808;6808;Freidig;Rocc ;;;;;;;;2;;;;;;<p>Le casque modulable dispose de deux positions:</p><ul><li>la position jet : mentonnière relevée pour la ville</li><li>la position intégrale : mentonnière fermée, visière fermée, pour une protection intégrale et un meilleur aérodynamisme à grande vitesse</li></ul>;<ul><li>Casque avec écran solaire intégré</li><li>visière claire & anti-rayures</li><li>aération dynamique réglable</li><li>fermeture Quick Release</li><li>poids env. 1.550 g</li><li>homologué ece 22-05</li><li>Matériel: ABS</li><li>Intérieur tout confort: antibactérien - amovible - lavable</li></ul>;;;;;;;;1;2016-03-17;2016-03-17;1;https://www.motogoodeal.ch/img/import/6808 M_0.jpg,https://www.motogoodeal.ch/img/import/6808 M_1.jpg;0;Couleur:Jaune:1,Type de casque:Modulable:2,Coque:ABS:4,Ecran anti-buée:Non:5,Cache-nez:non:6,Double écran solaire:non:7,Intérieur démontable et lavable:Oui:8,Livré avec une housse:non:9,Ecran anti-rayures:oui:10,;;new;;;;;;;;
80398;1;Rocc 680 Noir Mat;197;267.59;1;133.795;;;;;;6809;6809;Freidig;Rocc ;;;;;;;;2;;;;;;<p>Le casque modulable dispose de deux positions:</p><ul><li>la position jet : mentonnière relevée pour la ville</li><li>la position intégrale : mentonnière fermée, visière fermée, pour une protection intégrale et un meilleur aérodynamisme à grande vitesse</li></ul>;<ul><li>Casque avec 2 tailles de coque</li><li>visière solaire intégré</li><li>visière claire & anti-rayures</li><li>aération dynamique réglable</li><li>fermeture Quick Release</li><li>poids env. 1.550 g</li><li>homologué ece 22-05</li><li>Matériel: ABS</li><li>Intérieur tout confort: antibactérien - amovible - lavable</li></ul>;;;;;;;;1;2016-03-17;2016-03-17;1;https://www.motogoodeal.ch/img/import/6809 2XL_0.jpg,https://www.motogoodeal.ch/img/import/6809 2XL_1.jpg;0;Couleur:Noir:1,Type de casque:Modulable:2,Coque:ABS:4,Ecran anti-buée:Non:5,Cache-nez:non:6,Double écran solaire:non:7,Intérieur démontable et lavable:Oui:8,Livré avec une housse:non:9,Ecran anti-rayures:oui:10,;;new;;;;;;;;
80399;1;Premier Trophy M Gris;192;304.63;1;194.9632;;;;;;40188-;40188-;Freidig;Premier;;;;;;;;0;;;;;;"<ul>
     <li> Visière claire anti-rayures au design retro </li>
     <li> Intérieur tout confort: Mousse de joue lavable </li>
     <li> Fermeture double-D </li>
</ul>";"<p>short <strong>Ce casque est doté d’une visière claire anti-rayures au retro design, et d’une fermeture double-D. </strong></p>
<ul>
     <li> Matériel : Dyneema Carbon Aramidic </li>
     <li> Intérieur tout confort : Mousse de joue lavable </li>
     <li> Poids : env. 1290 g, homologué ece 22-05 </li>
</ul>
";;;;;;;;1;2016-03-17;2016-03-17;1;https://www.motogoodeal.ch/img/import/40188-XL_0.jpg;0;Couleur:Gris:1,Type de casque:Intégral:2,Genre:Unisexe:3,Coque:Carbone:4,Ecran anti-buée:Non:5,Cache-nez:non:6,Double écran solaire:non:7,Intérieur démontable et lavable:Non:8,Livré avec une housse:non:9,Ecran anti-rayures:oui:10,Jugulaire:Boucle double-D:11;;new;;;;;;;;
80400;1;Premier Voyager U8 Blanc Brillant;192;276.85;1;138.425;;;;;;41740-;41740-;Freidig;Premier ;;;;;;;;0;;;;;;"<ul>
     <li> Visière solaire escamotable avec aération dynamique réglable </li>
     <li> Intérieur tout confort : antibactérien, amovible, lavable < li>
     <li> Fermeture Quick Release </li>
</ul>";"<p>short <strong>Ce casque est disponible avec 2 tailles de coque. Il est doté d’une visière solaire escamotable, claire, anti-rayures, avec aération dynamique réglable et d’une fermeture Quick Release. </strong></p>
<ul>
     <li> Matériel : ABS </li>
     <li> Intérieur tout confort : antibactérien, amovible, lavable <li>
     <li> Poids env. 1.750g, homologué ece 22-05 </li>
</ul>";;;;;;;;1;2016-03-17;2016-03-17;1;https://www.motogoodeal.ch/img/import/41740_0.jpg,https://www.motogoodeal.ch/img/import/41740_1.jpg;0;Couleur:Blanc:1,Type de casque:Intégral:2,Genre:Unisexe:3,Coque:ABS:4,Ecran anti-buée:Non:5,Cache-nez:non:6,Double écran solaire:non:7,Intérieur démontable et lavable:Oui:8,Livré avec une housse:non:9,Ecran anti-rayures:oui:10,;;new;;;;;;;;
80401;1;Premier Voyager U9 Bm Noir Mat;197;276.85;1;138.425;;;;;;41741-;41741-;Freidig;Premier;;;;;;;;0;;;;;;<p>Le casque modulable dispose de deux positions:</p><ul><li>la position jet : mentonnière relevée pour la ville</li><li>la position intégrale : mentonnière fermée, visière fermée, pour une protection intégrale et un meilleur aérodynamisme à grande vitesse</li></ul>;<ul><li>Disponible avec 2 tailles de coque</li><li>visière claire & antirayures</li><li>visière solaire escamotable</li><li>aération dynamique réglable</li><li>fermeture Quick Release</li><li>poids env. 1.750 g</li><li>homologué ece 22-05</li><li>Matériel: ABS</li><li>Intérieur tout confort: antibactérien - amovible - lavable</li></ul>;;;;;;;;1;2016-03-17;2016-03-17;1;https://www.motogoodeal.ch/img/import/41741_0.jpg;0;Couleur:Noir:1,Type de casque:Modulable:2,Coque:ABS:4,Ecran anti-buée:Non:5,Cache-nez:non:6,Double écran solaire:non:7,Intérieur démontable et lavable:Oui:8,Livré avec une housse:non:9,Ecran anti-rayures:non:10,;;new;;;;;;;;
80402;1;Premier Thesis U9 Bm Noir Mat;197;212.04;1;106.02;;;;;;41750-;41750-;Freidig;Premier;;;;;;;;0;;;;;;<p>Le casque modulable dispose de deux positions:</p><ul><li>la position jet : mentonnière relevée pour la ville</li><li>la position intégrale : mentonnière fermée, visière fermée, pour une protection intégrale et un meilleur aérodynamisme à grande vitesse</li></ul>;<ul><li>Disponible avec 2 tailles de coque</li><li>visière claire & antirayures</li><li>visière solaire escamotable</li><li>aération dynamique réglable</li><li>fermeture Quick Release</li><li>poids env. 1.680 g</li><li>homologué ece 22-05</li><li>Matériel: ABS</li><li>Intérieur tout confort: antibactérien - amovible - lavable</li></ul>;;;;;;;;1;2016-03-17;2016-03-17;1;https://www.motogoodeal.ch/img/import/41750_0.jpg,https://www.motogoodeal.ch/img/import/41750_1.jpg,https://www.motogoodeal.ch/img/import/41750_2.jpg;0;Couleur:Noir:1,Type de casque:Modulable:2,Coque:ABS:4,Ecran anti-buée:Non:5,Cache-nez:non:6,Double écran solaire:non:7,Intérieur démontable et lavable:Oui:8,Livré avec une housse:non:9,Ecran anti-rayures:non:10,;;new;;;;;;;;
80403;1;Premier Thesis U8 Blanc Brillant;197;212.04;1;106.02;;;;;;41751-;41751-;Freidig;Premier;;;;;;;;0;;;;;;<p>Le casque modulable dispose de deux positions:</p><ul><li>la position jet : mentonnière relevée pour la ville</li><li>la position intégrale : mentonnière fermée, visière fermée, pour une protection intégrale et un meilleur aérodynamisme à grande vitesse</li></ul>;<ul><li>Disponible avec 2 tailles de coque</li><li>visière claire & antirayures</li><li>visière solaire escamotable</li><li>aération dynamique réglable</li><li>fermeture Quick Release</li><li>poids env. 1.680 g</li><li>homologué ece 22-05</li><li>Matériel: ABS</li><li>Intérieur tout confort: antibactérien - amovible - lavable</li></ul>;;;;;;;;1;2016-03-17;2016-03-17;1;https://www.motogoodeal.ch/img/import/41751_0.jpg;0;Couleur:Blanc:1,Type de casque:Modulable:2,Coque:ABS:4,Ecran anti-buée:Non:5,Cache-nez:non:6,Double écran solaire:non:7,Intérieur démontable et lavable:Oui:8,Livré avec une housse:non:9,Ecran anti-rayures:non:10,;;new;;;;;;;;
80404;1;Premier Jt4 All Road U9 Noir;197;239.81;1;143.886;;;;;;43120;43120;Freidig;Premier ;;;;;;;;0;;;;;;<p>Le casque modulable dispose de deux positions:</p><ul><li>la position jet : mentonnière relevée pour la ville</li><li>la position intégrale : mentonnière fermée, visière fermée, pour une protection intégrale et un meilleur aérodynamisme à grande vitesse</li></ul>;"<p>short <strong>Ce casque est doté d’une visière claire anti-rayures au retro design, et d’une fermeture double-D. </strong></p>
<ul>
     <li> Matériel : Dyneema Carbon Aramidic </li>
     <li> Intérieur tout confort : Mousse de joue lavable </li>
     <li> Poids : env. 1290 g, homologué ece 22-05 </li>
</ul>
";;;;;;;;1;2016-03-17;2016-03-17;1;https://www.motogoodeal.ch/img/import/43120_0.jpg;0;Couleur:Noir:1,Type de casque:Modulable:2,Genre:Unisexe:3,Ecran anti-buée:Non:5,Cache-nez:non:6,Double écran solaire:non:7,Intérieur démontable et lavable:Non:8,Livré avec une housse:non:9,Ecran anti-rayures:non:10,;;new;;;;;;;;
80405;1;Premier Jt4 All Road U9 Noir;197;239.81;1;47.962;;;;;;43120-;43120-;Freidig;Premier;;;;;;;;1;;;;;;<p>Le casque modulable dispose de deux positions:</p><ul><li>la position jet : mentonnière relevée pour la ville</li><li>la position intégrale : mentonnière fermée, visière fermée, pour une protection intégrale et un meilleur aérodynamisme à grande vitesse</li></ul>;"<p>short <strong>Ce casque est doté d’une visière claire anti-rayures au retro design, et d’une fermeture double-D. </strong></p>
<ul>
     <li> Matériel : Dyneema Carbon Aramidic </li>
     <li> Intérieur tout confort : Mousse de joue lavable </li>
     <li> Poids : env. 1290 g, homologué ece 22-05 </li>
</ul>
";;;;;;;;1;2016-03-17;2016-03-17;1;https://www.motogoodeal.ch/img/import/43120-M_0.jpg;0;Couleur:Noir:1,Ecran anti-buée:Non:5,Cache-nez:non:6,Double écran solaire:non:7,Intérieur démontable et lavable:Non:8,Livré avec une housse:non:9,Ecran anti-rayures:non:10;;new;;;;;;;;
80406;1;Premier Jt4 All Road U9 Blanc;197;239.81;1;143.886;;;;;;43121-;43121-;Freidig;Premier;;;;;;;;0;;;;;;<p>Le casque modulable dispose de deux positions:</p><ul><li>la position jet : mentonnière relevée pour la ville</li><li>la position intégrale : mentonnière fermée, visière fermée, pour une protection intégrale et un meilleur aérodynamisme à grande vitesse</li></ul>;"<p>short <strong>Ce casque est doté d’une visière claire anti-rayures au retro design, et d’une fermeture double-D. </strong></p>
<ul>
     <li> Matériel : Dyneema Carbon Aramidic </li>
     <li> Intérieur tout confort : Mousse de joue lavable </li>
     <li> Poids : env. 1290 g, homologué ece 22-05 </li>
</ul>
";;;;;;;;1;2016-03-17;2016-03-17;1;https://www.motogoodeal.ch/img/import/43121_0.jpg;0;Couleur:Blanc:1,Ecran anti-buée:Non:5,Cache-nez:non:6,Double écran solaire:non:7,Intérieur démontable et lavable:Non:8,Livré avec une housse:non:9,Ecran anti-rayures:non:10;;new;;;;;;;;
